CMDLINE /Users/mac/Documents/challenge_DE/venv/bin/python3.8 src/q1_memory.py
MEM 44.953125 1720399576.7166
MEM 44.953125 1720399576.8217
MEM 44.953125 1720399576.9233
MEM 44.953125 1720399577.0284
MEM 44.953125 1720399577.1335
MEM 44.953125 1720399577.2385
MEM 44.953125 1720399577.3436
MEM 44.953125 1720399577.4452
MEM 44.953125 1720399577.5469
MEM 44.953125 1720399577.6520
MEM 44.953125 1720399577.7571
MEM 44.953125 1720399577.8621
MEM 44.953125 1720399577.9672
MEM 44.953125 1720399578.0722
MEM 44.953125 1720399578.1773
MEM 44.953125 1720399578.2824
MEM 44.953125 1720399578.3848
MEM 44.953125 1720399578.4899
MEM 44.953125 1720399578.5949
MEM 44.953125 1720399578.7000
MEM 44.953125 1720399578.8015
MEM 44.953125 1720399578.9038
MEM 44.953125 1720399579.0089
MEM 44.953125 1720399579.1130
MEM 44.953125 1720399579.2181
MEM 44.953125 1720399579.3231
MEM 44.953125 1720399579.4282
MEM 44.953125 1720399579.5333
MEM 44.953125 1720399579.6366
MEM 44.953125 1720399579.7416
MEM 44.953125 1720399579.8467
MEM 44.953125 1720399579.9515
MEM 44.953125 1720399580.0566
MEM 44.953125 1720399580.1616
MEM 44.953125 1720399580.2667
MEM 44.953125 1720399580.3684
MEM 44.953125 1720399580.4735
MEM 44.953125 1720399580.5786
MEM 44.953125 1720399580.6836
MEM 44.953125 1720399580.7887
MEM 44.953125 1720399580.8938
MEM 44.953125 1720399580.9989
MEM 44.953125 1720399581.1015
MEM 44.953125 1720399581.2039
MEM 44.953125 1720399581.3090
MEM 44.953125 1720399581.4141
MEM 44.953125 1720399581.5192
MEM 44.953125 1720399581.6242
MEM 44.953125 1720399581.7293
MEM 44.953125 1720399581.8344
MEM 44.953125 1720399581.9395
MEM 44.953125 1720399582.0445
MEM 44.953125 1720399582.1496
MEM 44.953125 1720399582.2516
MEM 44.953125 1720399582.3566
MEM 44.953125 1720399582.4617
MEM 44.953125 1720399582.5668
MEM 44.953125 1720399582.6694
MEM 44.953125 1720399582.7745
MEM 44.953125 1720399582.8796
MEM 44.953125 1720399582.9847
MEM 44.953125 1720399583.0897
MEM 44.984375 1720399583.1948
MEM 44.984375 1720399583.2999
MEM 44.984375 1720399583.4016
MEM 44.984375 1720399583.5067
MEM 44.984375 1720399583.6117
MEM 44.984375 1720399583.7168
MEM 44.984375 1720399583.8183
MEM 44.984375 1720399583.9233
MEM 44.984375 1720399584.0284
MEM 44.984375 1720399584.1334
MEM 44.984375 1720399584.2385
MEM 44.984375 1720399584.3436
MEM 44.984375 1720399584.4487
MEM 44.984375 1720399584.5488
MEM 44.984375 1720399584.6539
MEM 44.984375 1720399584.7590
MEM 44.984375 1720399584.8634
MEM 44.984375 1720399584.9683
MEM 44.984375 1720399585.0734
MEM 44.984375 1720399585.1784
MEM 44.984375 1720399585.2835
